League,Year,Code,Team,Total_Salary
nfl,2022,MIA,Miami Dolphins,208559442
nfl,2022,MIN,Minnesota Vikings,208790359
nfl,2022,NE,New England Patriots,208004554
nfl,2022,NO,New Orleans Saints,206828041
nfl,2022,NYG,New York Giants,203667108
nfl,2022,NYJ,New York Jets,201530545
nfl,2022,PHI,Philadelphia Eagles,219359743
nfl,2022,PIT,Pittsburgh Steelers,210658592
nfl,2022,SF,San Francisco 49ers,206082457
nfl,2022,SEA,Seattle Seahawks,215796566
nfl,2022,TB,Tampa Bay Buccaneers,202960773
nfl,2022,TEN,Tennessee Titans,208998318
nfl,2022,WSH,Washington Commanders,207402414
nhl,2020,ANA,Anaheim Ducks,81500000
nhl,2020,ARI,Arizona Coyotes,81500000
nhl,2020,BOS,Boston Bruins,82245943
nhl,2020,BUF,Buffalo Sabres,72678411
nhl,2020,CGY,Calgary Flames,77897228
nhl,2020,CAR,Carolina Hurricanes,77568328
nhl,2020,CHI,Chicago Blackhawks,81500000
nhl,2020,COL,Colorado Avalanche,81500000
nhl,2020,CBJ,Columbus Blue Jackets,73835118
nhl,2020,DAL,Dallas Stars,81500000
nhl,2020,DET,Detroit Red Wings,73725168
nhl,2020,EDM,Edmonton Oilers,81500000
nhl,2020,FLA,Florida Panthers,80743103
nhl,2020,LA,Los Angeles Kings,71143210
nhl,2020,MIN,Minnesota Wild,81088412
nhl,2020,MTL,Montreal Canadiens,81500000
nhl,2020,NSH,Nashville Predators,83520657
nhl,2020,NJ,New Jersey Devils,62254273
nhl,2020,NYI,New York Islanders,81500000
nhl,2020,NYR,New York Rangers,74226625
nhl,2020,OTT,Ottawa Senators,66354638
nhl,2020,PHI,Philadelphia Flyers,78849867
nhl,2020,PIT,Pittsburgh Penguins,81500000
nhl,2020,SJ,San Jose Sharks,79896022
nhl,2020,STL,St Louis Blues,81500000
nhl,2020,TB,Tampa Bay Lightning,81500000
nhl,2020,TOR,Toronto Maple Leafs,81500000
nhl,2020,VAN,Vancouver Canucks,81500000
nhl,2020,VGK,Vegas Golden Knights,81500000
nhl,2020,WSH,Washington Capitals,81500000
nhl,2020,WPG,Winnipeg Jets,81500000
nhl,2021,ANA,Anaheim Ducks,60305455
nhl,2021,ARI,Arizona Coyotes,85587556
nhl,2021,BOS,Boston Bruins,81650744
nhl,2021,BUF,Buffalo Sabres,65994622
nhl,2021,CGY,Calgary Flames,81500000
nhl,2021,CAR,Carolina Hurricanes,81500000
nhl,2021,CHI,Chicago Blackhawks,81500000
nhl,2021,COL,Colorado Avalanche,81500000
nhl,2021,CBJ,Columbus Blue Jackets,69433690
nhl,2021,DAL,Dallas Stars,81500000
nhl,2021,DET,Detroit Red Wings,69557687
nhl,2021,EDM,Edmonton Oilers,81500000
nhl,2021,FLA,Florida Panthers,81500000
nhl,2021,LA,Los Angeles Kings,81500000
nhl,2021,MIN,Minnesota Wild,83330618
nhl,2021,MTL,Montreal Canadiens,81500000
nhl,2021,NSH,Nashville Predators,71653906
nhl,2021,NJ,New Jersey Devils,73577425
nhl,2021,NYI,New York Islanders,79269354
nhl,2021,NYR,New York Rangers,82449595
nhl,2021,OTT,Ottawa Senators,71522731
nhl,2021,PHI,Philadelphia Flyers,81500000
nhl,2021,PIT,Pittsburgh Penguins,81500000
nhl,2021,SJ,San Jose Sharks,76292867
nhl,2021,SEA,Seattle Kraken,71773775
nhl,2021,STL,St Louis Blues,81500000
nhl,2021,TB,Tampa Bay Lightning,81500000
nhl,2021,TOR,Toronto Maple Leafs,81500000
nhl,2021,VAN,Vancouver Canucks,81500000
nhl,2021,VGK,Vegas Golden Knights,81500000
nhl,2021,WSH,Washington Capitals,81500000
nhl,2021,WPG,Winnipeg Jets,81500000
nhl,2022,ANA,Anaheim Ducks,70771464
nhl,2022,ARI,Arizona Coyotes,67553790
nhl,2022,BOS,Boston Bruins,82500000
nhl,2022,BUF,Buffalo Sabres,65265598
nhl,2022,CGY,Calgary Flames,82590180
nhl,2022,CAR,Carolina Hurricanes,82387500
nhl,2022,CHI,Chicago Blackhawks,81924351
nhl,2022,COL,Colorado Avalanche,82475000
nhl,2022,CBJ,Columbus Blue Jackets,82500000
nhl,2022,DAL,Dallas Stars,81981992
nhl,2022,DET,Detroit Red Wings,74721594
nhl,2022,EDM,Edmonton Oilers,81604000
nhl,2022,FLA,Florida Panthers,87439609
nhl,2022,LA,Los Angeles Kings,80201091
nhl,2022,MIN,Minnesota Wild,82114357
nhl,2022,MTL,Montreal Canadiens,81367500
nhl,2022,NSH,Nashville Predators,81370388
nhl,2022,NJ,New Jersey Devils,82500000
nhl,2022,NYI,New York Islanders,81095304
nhl,2022,NYR,New York Rangers,83446494
nhl,2022,OTT,Ottawa Senators,79244572
nhl,2022,PHI,Philadelphia Flyers,82205000
nhl,2022,PIT,Pittsburgh Penguins,82500000
nhl,2022,SJ,San Jose Sharks,82500000
nhl,2022,SEA,Seattle Kraken,82500000
nhl,2022,STL,St Louis Blues,80736327
nhl,2022,TB,Tampa Bay Lightning,82500000
nhl,2022,TOR,Toronto Maple Leafs,82287500
nhl,2022,VAN,Vancouver Canucks,81250000
nhl,2022,VGK,Vegas Golden Knights,82500000
nhl,2022,WSH,Washington Capitals,82400000
nhl,2022,WPG,Winnipeg Jets,81735703
